finding_id,finding_type,priority,record_id,related_id,field,score,reason,source,reviewer_decision,action,notes
duplicate:legacy:code_instruction_direct:008:legacy:code_instruction_seed:009:answer:exact normalized match,duplicate,critical,legacy:code_instruction_direct:008,legacy:code_instruction_seed:009,answer,1.0,exact normalized match,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:011:legacy:code_instruction_seed:004:answer:exact normalized match,duplicate,critical,legacy:code_instruction_direct:011,legacy:code_instruction_seed:004,answer,1.0,exact normalized match,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
length:b01_js_normalize_label_map,context_or_supervision,review,b01_js_normalize_label_map,,full_record_tokens,326,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch01_accepted.jsonl,,,
length:b01_js_sum_line_totals,context_or_supervision,review,b01_js_sum_line_totals,,full_record_tokens,338,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch01_accepted.jsonl,,,
length:b01_py_merge_nonnegative_counts,context_or_supervision,review,b01_py_merge_nonnegative_counts,,full_record_tokens,345,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch01_accepted.jsonl,,,
length:b01_ts_parse_utc_offset,context_or_supervision,review,b01_ts_parse_utc_offset,,full_record_tokens,333,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch01_accepted.jsonl,,,
length:b02_js_index_rows_by_field,context_or_supervision,review,b02_js_index_rows_by_field,,full_record_tokens,384,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch02_accepted.jsonl,,,
length:b02_js_parse_csv_row,context_or_supervision,review,b02_js_parse_csv_row,,full_record_tokens,458,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch02_accepted.jsonl,,,
length:b02_py_parse_json_object_no_duplicates,context_or_supervision,review,b02_py_parse_json_object_no_duplicates,,full_record_tokens,321,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch02_accepted.jsonl,,,
length:b02_py_require_json_value,context_or_supervision,review,b02_py_require_json_value,,full_record_tokens,395,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch02_accepted.jsonl,,,
length:b02_py_write_new_csv,context_or_supervision,review,b02_py_write_new_csv,,full_record_tokens,407,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch02_accepted.jsonl,,,
length:b02_ts_parse_two_column_tsv,context_or_supervision,review,b02_ts_parse_two_column_tsv,,full_record_tokens,372,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch02_accepted.jsonl,,,
length:b03_py_reject_duplicate_record_ids,context_or_supervision,review,b03_py_reject_duplicate_record_ids,,full_record_tokens,332,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch03_accepted.jsonl,,,
length:b03_sql_is_null_not_equals,context_or_supervision,review,b03_sql_is_null_not_equals,,full_record_tokens,148,less than 10% of record is supervised,data/incoming/phase3_5b_batch03_accepted.jsonl,,,
length:b03_ts_check_duplicate_before_set,context_or_supervision,review,b03_ts_check_duplicate_before_set,,full_record_tokens,349,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch03_accepted.jsonl,,,
length:b04_js_error_code_and_message,context_or_supervision,review,b04_js_error_code_and_message,,full_record_tokens,308,answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_js_json_file_fixture,context_or_supervision,review,b04_js_json_file_fixture,,full_record_tokens,447,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_js_no_mutation_grouping,context_or_supervision,review,b04_js_no_mutation_grouping,,full_record_tokens,316,answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_py_table_parse_range_list,context_or_supervision,review,b04_py_table_parse_range_list,,full_record_tokens,354,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_ts_async_injected_loader,context_or_supervision,review,b04_ts_async_injected_loader,,full_record_tokens,417,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_ts_chunk_boundaries,context_or_supervision,review,b04_ts_chunk_boundaries,,full_record_tokens,440,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_ts_duplicate_index_rejection,context_or_supervision,review,b04_ts_duplicate_index_rejection,,full_record_tokens,313,answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_ts_no_mutation_sort,context_or_supervision,review,b04_ts_no_mutation_sort,,full_record_tokens,435,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_ts_null_undefined_distinction,context_or_supervision,review,b04_ts_null_undefined_distinction,,full_record_tokens,402,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_ts_parser_line_numbers,context_or_supervision,review,b04_ts_parser_line_numbers,,full_record_tokens,321,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_ts_table_discriminated_result,context_or_supervision,review,b04_ts_table_discriminated_result,,full_record_tokens,323,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_ts_table_parse_boolean,context_or_supervision,review,b04_ts_table_parse_boolean,,full_record_tokens,404,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:legacy:code_instruction_phase3:008,context_or_supervision,review,legacy:code_instruction_phase3:008,,full_record_tokens,275,answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/raw/code_instruction_phase3.txt,,,
length:legacy:code_instruction_seed:016,context_or_supervision,review,legacy:code_instruction_seed:016,,full_record_tokens,338,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/raw/code_instruction_seed.txt,,,
duplicate:b03_js_await_each_async_write:legacy:code_instruction_phase3:014:answer_structure:same normalized code structure,duplicate,review,b03_js_await_each_async_write,legacy:code_instruction_phase3:014,answer_structure,1.0,same normalized code structure,data/incoming/phase3_5b_batch03_accepted.jsonl | data/raw/code_instruction_phase3.txt,,,
duplicate:legacy:code_instruction_direct:001:legacy:code_instruction_seed:001:answer:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:001,legacy:code_instruction_seed:001,answer,0.728814,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:001:legacy:code_instruction_seed:001:answer_structure:same normalized code structure,duplicate,review,legacy:code_instruction_direct:001,legacy:code_instruction_seed:001,answer_structure,1.0,same normalized code structure,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:005:legacy:code_instruction_seed:006:answer:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:005,legacy:code_instruction_seed:006,answer,0.734513,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:005:legacy:code_instruction_seed:006:rendered:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:005,legacy:code_instruction_seed:006,rendered,0.60452,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:006:legacy:code_instruction_seed:007:answer:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:006,legacy:code_instruction_seed:007,answer,0.905172,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:006:legacy:code_instruction_seed:007:rendered:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:006,legacy:code_instruction_seed:007,rendered,0.698324,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:007:legacy:code_instruction_seed:008:answer_structure:same normalized code structure,duplicate,review,legacy:code_instruction_direct:007,legacy:code_instruction_seed:008,answer_structure,1.0,same normalized code structure,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:008:legacy:code_instruction_phase3:015:answer:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:008,legacy:code_instruction_phase3:015,answer,0.882353,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_phase3.txt,,,
duplicate:legacy:code_instruction_direct:008:legacy:code_instruction_phase3:015:answer_structure:same normalized code structure,duplicate,review,legacy:code_instruction_direct:008,legacy:code_instruction_phase3:015,answer_structure,1.0,same normalized code structure,data/raw/code_instruction_direct.txt | data/raw/code_instruction_phase3.txt,,,
duplicate:legacy:code_instruction_direct:008:legacy:code_instruction_phase3:015:rendered:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:008,legacy:code_instruction_phase3:015,rendered,0.68125,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_phase3.txt,,,
duplicate:legacy:code_instruction_direct:008:legacy:code_instruction_seed:009:rendered:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:008,legacy:code_instruction_seed:009,rendered,0.7125,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:009:legacy:code_instruction_seed:010:answer:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:009,legacy:code_instruction_seed:010,answer,0.709091,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:009:legacy:code_instruction_seed:010:rendered:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:009,legacy:code_instruction_seed:010,rendered,0.563953,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:010:legacy:code_instruction_seed:011:answer_structure:same normalized code structure,duplicate,review,legacy:code_instruction_direct:010,legacy:code_instruction_seed:011,answer_structure,1.0,same normalized code structure,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_phase3:015:legacy:code_instruction_seed:009:answer:high trigram Jaccard,duplicate,review,legacy:code_instruction_phase3:015,legacy:code_instruction_seed:009,answer,0.882353,high trigram Jaccard,data/raw/code_instruction_phase3.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_phase3:015:legacy:code_instruction_seed:009:answer_structure:same normalized code structure,duplicate,review,legacy:code_instruction_phase3:015,legacy:code_instruction_seed:009,answer_structure,1.0,same normalized code structure,data/raw/code_instruction_phase3.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_phase3:015:legacy:code_instruction_seed:009:rendered:high trigram Jaccard,duplicate,review,legacy:code_instruction_phase3:015,legacy:code_instruction_seed:009,rendered,0.651429,high trigram Jaccard,data/raw/code_instruction_phase3.txt | data/raw/code_instruction_seed.txt,,,
